Match,Teams,Result
2020/3/22 RW VS V5,Rogue Warriors,2
2020/3/22 RW VS V5,Victory Five,0
2020/3/23 IG VS ES,eStar,2
2020/3/23 IG VS ES,Invictus Gaming,0
2020/3/23 TES VS DMO,Dominus Esports,0
2020/3/23 TES VS DMO,Top Esports,2
2020/3/23 VG VS EDG,EDward Gaming,2
2020/3/23 VG VS EDG,Vici Gaming,1
2020/3/24 SN VS LNG,LNG Esports,1
2020/3/24 SN VS LNG,Suning,2
2020/3/24 WE VS RW,Rogue Warriors,1
2020/3/24 WE VS RW,Team WE,2
2020/3/25 BLG VS FPX,Bilibili Gaming,1
2020/3/25 BLG VS FPX,FunPlus Phoenix,2
2020/3/25 GRF VS GEN,Gen.G,2
2020/3/25 GRF VS GEN,Griffin,0
2020/3/25 HLE VS DRX,DRX,1
2020/3/25 HLE VS DRX,Hanwha Life Esports,2
2020/3/25 KT VS DWG,DAMWON Gaming,1
2020/3/25 KT VS DWG,KT Rolster,2
2020/3/25 TES VS JDG,JD Gaming,0
2020/3/25 TES VS JDG,Top Esports,2
2020/3/25 V5 VS OMG,Oh My God,2
2020/3/25 V5 VS OMG,Victory Five,0
2020/3/26 AF VS LSB,Afreeca Freecs,0
2020/3/26 AF VS LSB,SANDBOX Gaming,2
2020/3/26 GEN VS DWG,DAMWON Gaming,0
2020/3/26 GEN VS DWG,Gen.G,2
2020/3/26 RW VS DMO,Dominus Esports,2
2020/3/26 RW VS DMO,Rogue Warriors,0
2020/3/26 T1 VS SP,SeolHaeOne Prince,0
2020/3/26 T1 VS SP,T1,2
2020/3/26 VG VS LGD,LGD Gaming,0
2020/3/26 VG VS LGD,Vici Gaming,2
2020/3/26 WE VS SN,Suning,1
2020/3/26 WE VS SN,Team WE,2
2020/3/27 GLE VS KT,Hanwha Life Esports,0
2020/3/27 GLE VS KT,KT Rolster,2
2020/3/27 LNG VS ES,eStar,2
2020/3/27 LNG VS ES,LNG Esports,1
2020/3/27 LSB VS GRF,Griffin,1
2020/3/27 LSB VS GRF,SANDBOX Gaming,2
2020/3/27 OMG VS FPX,FunPlus Phoenix,2
2020/3/27 OMG VS FPX,Oh My God,1
2020/3/27 RNG VS JDG,JD Gaming,0
2020/3/27 RNG VS JDG,Royal Never Give Up,2
2020/3/27 T1 VS DRX,DRX,0
2020/3/27 T1 VS DRX,T1,2
2020/3/28 AF VS GEN,Afreeca Freecs,0
2020/3/28 AF VS GEN,Gen.G,2
2020/3/28 BLG VS WE,Bilibili Gaming,2
2020/3/28 BLG VS WE,Team WE,1
2020/3/28 DWG VS SP,DAMWON Gaming,2
2020/3/28 DWG VS SP,SeolHaeOne Prince,0
2020/3/28 GRF VS DRX,DRX,2
2020/3/28 GRF VS DRX,Griffin,0
2020/3/28 IG VS SN,Invictus Gaming,2
2020/3/28 IG VS SN,Suning,0
2020/3/28 LGD VS V5,LGD Gaming,2
2020/3/28 LGD VS V5,Victory Five,0
2020/3/29 DMO VS ES,Dominus Esports,0
2020/3/29 DMO VS ES,eStar,2
2020/3/29 KT VS AF,Afreeca Freecs,1
2020/3/29 KT VS AF,KT Rolster,2
2020/3/29 OMG  VS TES,Oh My God,0
2020/3/29 OMG  VS TES,Top Esports,2
2020/3/29 RNG VS EDG,EDward Gaming,1
2020/3/29 RNG VS EDG,Royal Never Give Up,2
2020/3/29 SP VS LSB,SANDBOX Gaming,0
2020/3/29 SP VS LSB,SeolHaeOne Prince,2
2020/3/29 T1 VS HLE,Hanwha Life Esports,1
2020/3/29 T1 VS HLE,T1,2
2020/3/30 JDG VS SN,JD Gaming,2
2020/3/30 JDG VS SN,Suning,1
2020/3/30 V5 VS FPX,FunPlus Phoenix,2
2020/3/30 V5 VS FPX,Victory Five,0
2020/3/30 VG VS LNG,LNG Esports,1
2020/3/30 VG VS LNG,Vici Gaming,2
2020/3/31 IG VS OMG,Invictus Gaming,2
2020/3/31 IG VS OMG,Oh My God,0
2020/3/31 LGD VS EDG,EDward Gaming,2
2020/3/31 LGD VS EDG,LGD Gaming,1
2020/3/4 DWG VS DRX,DAMWON Gaming,0
2020/3/4 DWG VS DRX,DRX,2
2020/3/4 HLE VS SP,Hanwha Life Esports,0
2020/3/4 HLE VS SP,SeolHaeOne Prince,2
2020/3/5 AF VS T1,Afreeca Freecs,2
2020/3/5 AF VS T1,T1,1
2020/3/5 LSB VS GEN,Gen.G,2
2020/3/5 LSB VS GEN,SANDBOX Gaming,0
2020/3/6 GRF VS KT,Griffin,1
2020/3/6 GRF VS KT,KT Rolster,2
2020/3/9 FPX VS JDG,FunPlus Phoenix,2
2020/3/9 FPX VS JDG,JD Gaming,1
2020/3/9 LNG VS OMG,LNG Esports,1
2020/3/9 LNG VS OMG,Oh My God,2
2020/3/9 RNG VS TES,Royal Never Give Up,2
2020/3/9 RNG VS TES,Top Esports,0
2020/4/1 DMO VS LNG,Dominus Esports,2
2020/4/1 DMO VS LNG,LNG Esports,0
2020/4/1 DRX VS LSB,DRX,2
2020/4/1 DRX VS LSB,SANDBOX Gaming,1
2020/4/1 GEN VS T1,Gen.G,1
2020/4/1 GEN VS T1,T1,2
2020/4/1 KT VS GRF,Griffin,1
2020/4/1 KT VS GRF,KT Rolster,2
2020/4/1 V5 VS RNG,Royal Never Give Up,2
2020/4/1 V5 VS RNG,Victory Five,0
2020/4/1 VG VS ES,eStar,1
2020/4/1 VG VS ES,Vici Gaming,2
2020/4/10 DRX VS DWG,DAMWON Gaming,1
2020/4/10 DRX VS DWG,DRX,2
2020/4/10 FPX VS VG,FunPlus Phoenix,1
2020/4/10 FPX VS VG,Vici Gaming,2
2020/4/10 T1 VS KT,KT Rolster,2
2020/4/10 T1 VS KT,T1,0
2020/4/10 TES VS BLG,Bilibili Gaming,2
2020/4/10 TES VS BLG,Top Esports,0
2020/4/10 V5 VS DMO,Dominus Esports,2
2020/4/10 V5 VS DMO,Victory Five,0
2020/4/11 LSB VS KT,KT Rolster,2
